scenarios,time_steps,repeats,block_size,queue_capacity_requested,queue_capacity_resolved,workers_requested,workers_used,metrics_median_seconds,metrics_scenarios_per_second,unobserved_median_seconds,unobserved_scenarios_per_second,metrics_throughput_loss_percent,metrics_speedup,metrics_parallel_efficiency,unobserved_speedup,unobserved_parallel_efficiency,cpu_utilization_percent,price,standard_error,block_compute_p50_ns,block_compute_p95_ns,block_compute_p99_ns,block_commit_p50_ns,block_commit_p95_ns,block_commit_p99_ns,assignment_queue_peak,completion_queue_peak,scheduler_blocked_ns,coordinator_blocked_ns,coordinator_consume_ns,coordinator_blocks_per_second,max_reduction_backlog_blocks,max_reduction_backlog_bytes
5000000,1,3,2048,8,8,1,1,0.273336167,18292493.287212882,0.292519750,17092862.960535143,-7.018311265,1.000000000,1.000000000,1.000000000,1.000000000,104.359929162,10.444555390,0.006578653,107917.000000000,120625.000000000,139166.000000000,25500.000000000,30500.000000000,40959.000000000,8.000000000,1.000000000,271893496.000000000,269667634.000000000,3041381.000000000,802924.723998736,2442,97680
5000000,1,3,2048,8,8,2,2,0.156537667,31941194.064173706,0.156785250,31890755.029570706,-0.158161933,1.746136711,0.873068355,1.865735138,0.932867569,206.395557521,10.444555390,0.006578653,125500.000000000,135541.000000000,173334.000000000,10458.000000000,26333.000000000,79041.000000000,8.000000000,3.000000000,155418519.000000000,152801703.000000000,3156322.000000000,773685.321079408,2442,97680
5000000,1,3,2048,8,8,4,4,0.097843833,51101841.032740407,0.098073792,50982019.742848322,-0.235026565,2.793596271,0.698399068,2.982649534,0.745662383,414.008809007,10.444555390,0.006578653,137709.000000000,257708.000000000,327125.000000000,13125.000000000,30166.000000000,60166.000000000,8.000000000,4.000000000,96556581.000000000,91482155.000000000,5160675.000000000,473193.913586885,2442,97680
5000000,1,3,2048,8,8,8,8,0.072211917,69240649.019191667,0.071292958,70133153.964519188,1.272586352,3.785194721,0.473149340,4.103066533,0.512883317,639.700508159,10.444555390,0.006578653,140875.000000000,363333.000000000,539458.000000000,85750.000000000,314541.000000000,507792.000000000,8.000000000,8.000000000,68990504.000000000,62087367.000000000,5284362.000000000,462118.227328105,2442,97680
5000000,1,3,8192,0,2,1,1,0.267663792,18680150.806501314,0.272803334,18328221.751131531,-1.920148393,1.000000000,1.000000000,1.000000000,1.000000000,100.854134204,10.444555390,0.006578653,425167.000000000,481375.000000000,513750.000000000,25625.000000000,30916.000000000,41625.000000000,2.000000000,1.000000000,266353792.000000000,266621790.000000000,868256.000000000,703709.505030774,611,24440
5000000,1,3,8192,0,4,2,2,0.153717292,32527244.885370474,0.154177042,32430249.894144423,-0.299088017,1.741273142,0.870636571,1.769416059,0.884708029,201.289650614,10.444555390,0.006578653,501292.000000000,536750.000000000,614084.000000000,11625.000000000,23167.000000000,31959.000000000,4.000000000,2.000000000,152323126.000000000,152591906.000000000,969745.000000000,630062.542214706,611,24440
5000000,1,3,8192,0,8,4,4,0.094172333,53094150.274476051,0.094221666,53066351.002539061,-0.052385874,2.842276319,0.710569080,2.895335495,0.723833874,396.687634361,10.444555390,0.006578653,547291.000000000,1020167.000000000,1105875.000000000,13417.000000000,26583.000000000,55084.000000000,8.000000000,3.000000000,92153428.000000000,92320885.000000000,1494669.000000000,408786.159343641,611,24440
5000000,1,3,8192,0,16,8,8,0.069515916,71925974.477557063,0.076272041,65554821.064772606,-9.718817486,3.850395814,0.481299477,3.576714749,0.447089344,657.471017141,10.444555390,0.006578653,594583.000000000,1408750.000000000,3129542.000000000,12291.000000000,1378500.000000000,2110417.000000000,16.000000000,16.000000000,66689545.000000000,68073205.000000000,1154750.000000000,529118.856895432,611,24440
5000000,1,3,8192,1,1,1,1,0.269101750,18580332.532211330,0.274110083,18240846.689320799,-1.861129851,1.000000000,1.000000000,1.000000000,1.000000000,100.699873991,10.444555390,0.006578653,429875.000000000,486500.000000000,509584.000000000,25583.000000000,30917.000000000,38833.000000000,1.000000000,1.000000000,268316138.000000000,268059871.000000000,849069.000000000,719611.715891170,611,24440
5000000,1,3,8192,1,1,2,2,0.153926625,32483009.355918769,0.152165500,32858959.488188844,1.144132797,1.748246933,0.874123466,1.801394423,0.900697211,201.172463278,10.444555390,0.006578653,500875.000000000,546042.000000000,603750.000000000,11292.000000000,22458.000000000,33375.000000000,1.000000000,1.000000000,153125165.000000000,152748523.000000000,881879.000000000,692838.813488018,611,24440
